"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",5061.30436414338
"2","member","Sunday",972.938335797455
"3","casual","Monday",4752.05043820423
"4","member","Monday",822.311201666179
"5","casual","Tuesday",4561.80385720137
"6","member","Tuesday",769.441628768358
"7","casual","Wednesday",4480.37243172955
"8","member","Wednesday",711.983790257759
"9","casual","Thursday",8451.66685322522
"10","member","Thursday",707.209274283704
"11","casual","Friday",6090.73730188457
"12","member","Friday",796.733788899701
"13","casual","Saturday",4950.77080086109
"14","member","Saturday",974.072963829433
